timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,batt_1,batt_2,batt_3,note,ppg_1,ppg_2,ppg_3
1753770449.6408782,1650.0,815.5311,815.12823,1650.0,nan,nan,,,,,,,
1753770449.6447747,646.30035,808.68134,809.89014,917.0696,nan,nan,,,,,,,
1753770449.6486712,0.0,798.60803,806.26373,0.0,nan,nan,,,,,,,
1753770449.6525676,125.311356,792.1612,800.2198,86.227104,nan,nan,,,,,,,
1753770449.6548429,,,,,,,,,,,354088800.0,301210620.0,1830109.9
1753770449.6564641,1264.7986,801.8315,804.65204,1231.7583,nan,nan,,,,,,,
1753770449.6603608,1650.0,814.7253,813.91943,1650.0,nan,nan,,,,,,,
1753770449.6642573,803.0403,806.26373,812.3077,1072.6007,nan,nan,,,,,,,
1753770449.6681538,0.0,794.9817,811.0989,10.07326,nan,nan,,,,,,,
1753770449.6704156,,,,,,,,,,,354125060.0,301412100.0,1880073.2
1753770449.6720502,127.326004,805.05493,815.5311,13.296703,nan,nan,,,,,,,
1753770449.6759467,1248.6813,818.7546,814.7253,1129.414,nan,nan,,,,,,,
1753770449.6798432,1650.0,819.15753,814.3223,1650.0,nan,nan,,,,,,,
1753770449.6837397,1181.392,816.337,815.9341,1344.9817,nan,nan,,,,,,,
1753770449.6859882,,,,,,,,,,,354107330.0,301391940.0,1851062.2
1753770449.6876364,41.0989,810.696,814.3223,181.72162,nan,nan,,,,,,,
1753770449.6915329,31.831501,814.7253,811.0989,0.0,nan,nan,,,,,,,
1753770449.6954293,1205.5677,829.6337,806.6667,1017.3993,nan,nan,,,,,,,
1753770449.6993258,1650.0,826.0073,802.6374,1650.0,nan,nan,,,,,,,
1753770449.7015607,,,,,,,,,,,354152450.0,301392740.0,1839780.2
1753770449.7032223,1316.7766,812.3077,805.4579,1421.9414,nan,nan,,,,,,,
1753770449.7071187,154.72528,801.4286,815.12823,296.15384,nan,nan,,,,,,,
1753770449.7110152,0.0,796.99634,816.337,0.0,nan,nan,,,,,,,
1753770449.7149119,1057.6923,806.6667,816.7399,707.5458,nan,nan,,,,,,,
1753770449.7171335,,,,,,,,,,,354050900.0,301437060.0,1863956.0
1753770449.7188084,1650.0,819.9634,813.1135,1650.0,nan,nan,,,,,,,
1753770449.7227049,1438.4615,813.5165,799.81683,1508.1685,nan,nan,,,,,,,
1753770449.7266014,298.97437,806.26373,801.02563,360.6227,nan,nan,,,,,,,
1753770449.7304978,0.0,801.4286,806.6667,0.0,nan,nan,,,,,,,
1753770449.7327061,,,,,,,,,,,354110560.0,301488640.0,1849450.5
1753770449.7343943,848.97437,805.8608,812.3077,454.90842,nan,nan,,,,,,,
1753770449.7382908,1650.0,828.4249,817.5458,1609.7069,nan,nan,,,,,,,
1753770449.7421875,1490.0366,817.1429,815.5311,1548.0586,nan,nan,,,,,,,
1753770449.7460840,363.04028,801.4286,813.5165,351.75824,nan,nan,,,,,,,
1753770449.7482786,,,,,,,,,,,354132320.0,301447550.0,1865567.8
1753770449.7499804,0.0,797.8022,807.0696,0.0,nan,nan,,,,,,,
1753770449.7538769,1645.9707,809.4872,822.381,1486.8132,nan,nan,,,,,,,
1753770449.7577734,545.9707,792.96704,812.71063,270.3663,nan,nan,,,,,,,
1753770449.7616699,1533.5531,817.1429,810.696,1620.1831,nan,nan,,,,,,,
1753770449.7638514,,,,,,,,,,,354043650.0,301449950.0,1850256.4
1753770449.7655663,359.4139,803.8461,799.81683,390.03662,nan,nan,,,,,,,
1753770449.7694631,0.0,795.38464,809.89014,0.0,nan,nan,,,,,,,
1753770449.7733595,321.13553,800.6227,818.7546,171.64835,nan,nan,,,,,,,
1753770449.7772560,1517.033,822.381,820.7692,1339.3407,nan,nan,,,,,,,
1753770449.7794240,,,,,,,,,,,354162100.0,301501540.0,1846227.1
1753770449.7811525,1623.8096,828.8278,821.5751,1650.0,nan,nan,,,,,,,
1753770449.7850490,422.27106,814.3223,805.8608,564.10254,nan,nan,,,,,,,
1753770449.7889454,0.0,797.8022,796.99634,0.0,nan,nan,,,,,,,
1753770449.7928419,196.63004,805.4579,809.4872,124.10256,nan,nan,,,,,,,
1753770449.7949965,,,,,,,,,,,354100060.0,301386300.0,1783370.0
1753770449.7967386,1400.586,820.7692,817.1429,1284.5421,nan,nan,,,,,,,
1753770449.8006351,1650.0,813.1135,819.15753,1650.0,nan,nan,,,,,,,
1753770449.8045316,450.87912,797.8022,815.5311,620.9158,nan,nan,,,,,,,
1753770449.8084280,0.0,794.9817,807.47253,0.0,nan,nan,,,,,,,
1753770449.8105690,,,,,,,,,,,354043650.0,301383070.0,1851062.2
1753770449.8123245,149.48718,801.8315,802.6374,145.45787,nan,nan,,,,,,,
1753770449.8162210,1266.4103,813.5165,813.1135,1239.414,nan,nan,,,,,,,
1753770449.8201177,1650.0,811.9048,816.7399,1650.0,nan,nan,,,,,,,
1753770449.8240142,0.0,803.0403,810.696,17.728937,nan,nan,,,,,,,
1753770449.8261418,,,,,,,,,,,353963870.0,301337150.0,1780146.5
1753770449.8279107,819.15753,807.0696,812.71063,1132.6373,nan,nan,,,,,,,
1753770449.8318071,113.22344,813.1135,808.68134,41.50183,nan,nan,,,,,,,
1753770449.8357036,1264.3956,822.7839,811.0989,1210.8059,nan,nan,,,,,,,
1753770449.8396001,1650.0,820.3663,817.9487,1650.0,nan,nan,,,,,,,
1753770449.8417144,,,,,,,,,,,353996130.0,301300860.0,1851062.2
1753770449.8434966,946.8865,813.91943,812.3077,1215.641,nan,nan,,,,,,,
1753770449.8473933,0.0,800.6227,803.0403,85.01832,nan,nan,,,,,,,
